,RP1,RP2,RP3,RP4,RP5,RP6,RP7,LP1,LP2,LP3,LP4,LP5,LP6,LP7,LP_sum,LP_mean,LP_std,LP_var,LP_min,LP_max,LP_sma,LP_quantile,LP_median,LP_mad,LP_skew,LP_kurt,RAX,RAY,RAZ,RA_sum,RA_mean,RA_std,RA_var,RA_min,RA_max,RA_sma,RA_quantile,RA_median,RA_mad,RA_skew,LAX,LAY,LAZ,LA_sum,LA_mean,LA_std,LA_var,LA_min,LA_max,LA_sma,LA_quantile,LA_median,LA_mad,LA_skew,label
0,27,33,32,29,24,21,50,33,12,11,13,11,9,9,98,14.0,8.504900548115382,72.33333333333333,9,33,14.576973255055393,11.0,11.0,5.428571428571429,2.4828190421270975,6.3511520737327185,12,16,116,144,48.0,58.92367945062494,3472.0,12,116,127.47943019943014,16.0,16.0,45.333333333333336,1.7230755931005237,160,172,28,360,120.0,79.89993742175271,6384.0,28,172,125.74611872146116,160.0,160.0,61.333333333333336,-1.6882017983707434,5
1,27,33,32,30,24,21,50,33,12,11,13,11,8,9,97,13.857142857142858,8.610624666239794,74.14285714285717,8,33,14.576973255055393,11.0,11.0,5.469387755102042,2.4289121495508446,6.1592754704652855,0,16,116,132,44.0,62.864934582006846,3952.0,0,116,127.47943019943014,16.0,16.0,48.0,1.6066834278056383,100,160,124,384,128.0,30.199337741083,912.0,100,160,125.74611872146116,124.0,124.0,21.333333333333332,0.5855827262813879,5
2,27,33,32,30,24,21,50,32,12,11,13,11,8,9,96,13.714285714285714,8.240434570140211,67.9047619047619,8,32,14.576973255055393,11.0,11.0,5.224489795918368,2.409117352254601,6.084769921061275,0,4,92,96,32.0,52.0,2704.0,0,92,127.47943019943014,4.0,4.0,40.0,1.7205279927173422,20,96,12,128,42.666666666666664,46.3609030685699,2149.3333333333335,12,96,125.74611872146116,20.0,20.0,35.55555555555555,1.6742095357841162,5
3,27,33,32,29,24,21,50,32,12,11,13,11,8,8,95,13.571428571428571,8.343802947040853,69.61904761904762,8,32,14.576973255055393,11.0,11.0,5.265306122448978,2.359738480334045,5.899528595836902,12,224,176,412,137.33333333333334,111.16354318450512,12357.333333333334,12,224,127.47943019943014,176.0,176.0,83.55555555555556,-1.3758807331678298,16,80,108,204,68.0,47.15930449020638,2224.0,16,108,125.74611872146116,80.0,80.0,34.666666666666664,-1.0709147997038482,5
4,27,33,32,30,24,21,51,32,12,11,13,11,8,8,95,13.571428571428571,8.343802947040853,69.61904761904762,8,32,13.742857142857142,11.0,11.0,5.265306122448978,2.359738480334045,5.899528595836902,12,224,156,392,130.66666666666666,108.2466319722389,11717.333333333334,12,224,78.4,156.0,156.0,79.11111111111111,-0.9954677479381754,212,244,212,668,222.66666666666666,18.475208614068027,341.33333333333337,212,244,116.26666666666668,212.0,212.0,14.22222222222222,1.7320508075688823,5
5,27,33,32,30,24,21,51,32,12,11,13,11,8,8,95,13.571428571428571,8.343802947040853,69.61904761904762,8,32,13.657142857142855,11.0,11.0,5.265306122448978,2.359738480334045,5.899528595836902,248,244,84,576,192.0,93.552124508212,8752.0,84,248,107.2,244.0,244.0,72.0,-1.728489224296472,188,156,244,588,196.0,44.54211490264017,1984.0,156,244,131.46666666666667,188.0,188.0,32.0,0.7821521217295038,5
6,28,33,32,29,24,21,51,31,12,11,13,11,8,8,94,13.428571428571429,7.9761549395086115,63.61904761904762,8,31,13.57142857142857,11.0,11.0,5.020408163265308,2.333020493616208,5.800366183800058,0,244,136,380,126.66666666666667,122.26746637324801,14949.333333333332,0,244,123.73333333333332,136.0,136.0,84.44444444444444,-0.3415075445465112,200,208,184,592,197.33333333333334,12.220201853215572,149.33333333333331,184,208,145.33333333333334,200.0,200.0,8.888888888888886,-0.9352195295828318,5
7,28,34,33,30,24,21,52,31,12,11,13,11,8,7,93,13.285714285714286,8.097618697581938,65.57142857142858,7,31,13.485714285714286,11.0,11.0,5.061224489795918,2.257260073014701,5.547776021568151,4,0,88,92,30.666666666666668,49.69238707622459,2469.333333333333,0,88,123.46666666666665,4.0,4.0,38.22222222222222,1.7194336920818585,244,164,168,576,192.0,45.077710678338576,2032.0,164,244,175.20000000000002,168.0,168.0,34.666666666666664,1.7167204280593635,5
8,28,34,33,29,24,21,53,31,12,11,13,11,8,7,93,13.285714285714286,8.097618697581938,65.57142857142858,7,31,13.42857142857143,11.0,11.0,5.061224489795918,2.257260073014701,5.547776021568151,8,240,136,384,128.0,116.2067123706716,13504.0,8,240,121.59999999999998,136.0,136.0,80.0,-0.30832456366176825,200,144,196,540,180.0,31.240998703626616,976.0,144,200,197.6,196.0,196.0,24.0,-1.7001618482892749,5
9,28,34,33,29,24,21,53,31,12,11,13,11,8,7,93,13.285714285714286,8.097618697581938,65.57142857142858,7,31,13.371428571428575,11.0,11.0,5.061224489795918,2.257260073014701,5.547776021568151,216,236,44,496,165.33333333333334,105.55251457607883,11141.333333333334,44,236,128.53333333333333,216.0,216.0,80.88888888888889,-1.6623552153341243,168,160,236,564,188.0,41.7612260356422,1744.0,160,236,190.66666666666669,168.0,168.0,32.0,1.660818054190804,5
10,29,34,33,29,25,20,53,31,12,11,13,11,8,7,93,13.285714285714286,8.097618697581938,65.57142857142858,7,31,13.31428571428572,11.0,11.0,5.061224489795918,2.257260073014701,5.547776021568151,188,12,244,444,148.0,121.06196760337245,14656.0,12,244,119.73333333333332,188.0,188.0,90.66666666666667,-1.324522871654525,112,212,64,388,129.33333333333334,75.50717405209477,5701.333333333333,64,212,177.33333333333334,112.0,112.0,55.111111111111114,0.9785774317683534,5
